STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,FREQ,Fréquence d'observation,TIME_PERIOD,Période de temps,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unité de mesure,PRICE_BASE,Ajustement,ADJUSTMENT,Base de prix,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie,BASE_PER,Période de base,METHODOLOGY,Méthode,DECIMALS,Decimals
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2016-Q2,,-0.4,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2016-Q1,,-0.4,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2015-Q4,,-0.3,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2015-Q3,,-0.2,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2015-Q2,,-0.2,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2015-Q1,,-0.2,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2014-Q4,,-0.2,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2014-Q3,,-0.2,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2014-Q2,,-0.1,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2014-Q1,,0,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2013-Q4,,0,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2013-Q3,,0,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2013-Q2,,0,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
